macaque_cluster	primate_class	primate_neighborhood	primate_subclass	homology_neighborhood	homology_class	homology_subclass	homology_supertype	NOTES_NJJ		AIT21_neighborhood	AIT21_class	AIT21_subclass	AIT21_supertype	AIT21_cluster	size
63_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA(0.95)	CNU-LGE GABA(0.95)	STR D1 Gaba(0.85)| STR D2 Gaba(0.1)	STR D1 Gaba_1(0.68)| STR D1 Gaba_6(0.12)| STR D2 Gaba_1(0.08)	0943 STR D1 Gaba_1(0.67)| 0959 STR D1 Gaba_6(0.12)| 0970 STR D2 Gaba_1(0.07)	755
64_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA(0.98)	STR D1 Gaba(0.9)	STR D1 Gaba_6(0.47)| STR D1 Gaba_1(0.37)	0959 STR D1 Gaba_6(0.47)| 0943 STR D1 Gaba_1(0.28)| 0944 STR D1 Gaba_1(0.06)	3394
65_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.96)	STR D1 Gaba_6(0.57)| STR D1 Gaba_1(0.35)	0959 STR D1 Gaba_6(0.57)| 0943 STR D1 Gaba_1(0.22)| 0947 STR D1 Gaba_1(0.08)	1202
66_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA(0.85)| Subpallium-GABA;HY-EA-Glut-GABA(0.14)	CNU-LGE GABA(0.85)| CNU-HYa GABA(0.14)	STR D1 Gaba(0.81)| ACB-BST-FS D1 Gaba(0.13)	STR D1 Gaba_1(0.72)| ACB-BST-FS D1 Gaba_2(0.12)| STR D1 Gaba_6(0.06)	0943 STR D1 Gaba_1(0.41)| 0947 STR D1 Gaba_1(0.15)| 1378 ACB-BST-FS D1 Gaba_2(0.11)| 0945 STR D1 Gaba_1(0.08)| 0944 STR D1 Gaba_1(0.06)| 0959 STR D1 Gaba_6(0.06)	398
67_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA(0.84)| Subpallium-GABA;HY-EA-Glut-GABA(0.16)	CNU-LGE GABA(0.84)| CNU-HYa GABA(0.16)	STR D1 Gaba(0.75)| ACB-BST-FS D1 Gaba(0.14)	STR D1 Gaba_1(0.58)| ACB-BST-FS D1 Gaba_2(0.14)| STR D1 Gaba_6(0.1)	0947 STR D1 Gaba_1(0.34)| 0945 STR D1 Gaba_1(0.13)| 1378 ACB-BST-FS D1 Gaba_2(0.13)| 0959 STR D1 Gaba_6(0.1)| 0944 STR D1 Gaba_1(0.06)	546
68_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA(0.76)| Subpallium-GABA;HY-EA-Glut-GABA(0.24)	CNU-LGE GABA(0.76)| CNU-HYa GABA(0.24)	STR D1 Gaba(0.65)| ACB-BST-FS D1 Gaba(0.19)| STR D2 Gaba(0.09)	STR D1 Gaba_1(0.43)| STR D1 Gaba_8(0.21)| ACB-BST-FS D1 Gaba_1(0.12)| STR D2 Gaba_1(0.07)| ACB-BST-FS D1 Gaba_2(0.06)	0943 STR D1 Gaba_1(0.4)| 0962 STR D1 Gaba_8(0.12)| 1375 ACB-BST-FS D1 Gaba_1(0.1)| 0961 STR D1 Gaba_8(0.08)| 0970 STR D2 Gaba_1(0.06)| 1378 ACB-BST-FS D1 Gaba_2(0.06)	605
69_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA(0.85)| Subpallium-GABA;HY-EA-Glut-GABA(0.15)	CNU-LGE GABA(0.85)| CNU-HYa GABA(0.15)	STR D1 Gaba(0.75)| ACB-BST-FS D1 Gaba(0.12)	STR D1 Gaba_1(0.65)| ACB-BST-FS D1 Gaba_2(0.12)	0943 STR D1 Gaba_1(0.57)| 1378 ACB-BST-FS D1 Gaba_2(0.12)| 0947 STR D1 Gaba_1(0.06)	390
75_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA(0.98)	CNU-LGE GABA(0.98)	STR D1 Gaba(0.93)	STR D1 Gaba_8(0.55)| STR D1 Gaba_6(0.12)| STR D1 Gaba_7(0.09)| STR D1 Gaba_1(0.07)	0961 STR D1 Gaba_8(0.53)| 0959 STR D1 Gaba_6(0.12)| 0960 STR D1 Gaba_7(0.09)| 0943 STR D1 Gaba_1(0.06)	546
76_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba	STR D1 Gaba_7(0.79)| STR D1 Gaba_5(0.07)| STR D1 Gaba_8(0.07)	0960 STR D1 Gaba_7(0.79)| 0961 STR D1 Gaba_8(0.07)	135
77_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.96)	STR D1 Gaba_7(0.64)| STR D1 Gaba_8(0.12)| STR D1 Gaba_5(0.1)	0960 STR D1 Gaba_7(0.64)| 0961 STR D1 Gaba_8(0.11)| 0955 STR D1 Gaba_5(0.06)	1951
81_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.59)| OT D3 Folh1 Gaba(0.37)	STR D1 Gaba_6(0.4)| OT D3 Folh1 Gaba_3(0.37)| STR D1 Gaba_1(0.16)	0959 STR D1 Gaba_6(0.4)| 0941 OT D3 Folh1 Gaba_3(0.19)| 0942 OT D3 Folh1 Gaba_3(0.18)| 0944 STR D1 Gaba_1(0.09)| 0943 STR D1 Gaba_1(0.06)	321
39_MSN	MSN	D1-MSN	D1-Striosome	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba	STR D1 Gaba_9(0.36)| STR D1 Gaba_8(0.28)| STR D1 Gaba_4(0.25)| STR D1 Gaba_3(0.06)	0964 STR D1 Gaba_9(0.36)| 0961 STR D1 Gaba_8(0.28)| 0954 STR D1 Gaba_4(0.24)| 0950 STR D1 Gaba_3(0.06)	3054
40_MSN	MSN	D1-MSN	D1-Striosome	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba	STR D1 Gaba_4(0.38)| STR D1 Gaba_3(0.33)| STR D1 Gaba_9(0.14)| STR D1 Gaba_8(0.07)	0950 STR D1 Gaba_3(0.33)| 0954 STR D1 Gaba_4(0.25)| 0964 STR D1 Gaba_9(0.14)| 0953 STR D1 Gaba_4(0.13)| 0961 STR D1 Gaba_8(0.07)	7014
41_MSN	MSN	D1-MSN	D1-Striosome	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba	STR D1 Gaba_3(0.6)| STR D1 Gaba_4(0.36)	0950 STR D1 Gaba_3(0.6)| 0954 STR D1 Gaba_4(0.26)| 0953 STR D1 Gaba_4(0.1)	845
42_MSN	MSN	D1-MSN	D1-Striosome	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.94)	STR D1 Gaba_4(0.6)| STR D1 Gaba_3(0.26)	0954 STR D1 Gaba_4(0.47)| 0950 STR D1 Gaba_3(0.26)| 0953 STR D1 Gaba_4(0.14)	1183
43_MSN	MSN	D1-MSN	D1-Striosome	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.95)	STR D1 Gaba_4(0.38)| STR D1 Gaba_9(0.23)| STR D1 Gaba_8(0.23)| STR D1 Gaba_3(0.06)	0954 STR D1 Gaba_4(0.37)| 0964 STR D1 Gaba_9(0.23)| 0961 STR D1 Gaba_8(0.22)| 0950 STR D1 Gaba_3(0.06)	481
44_MSN	MSN	D1-MSN	D1-Striosome	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.98)	STR D1 Gaba_7(0.2)| STR D1 Gaba_4(0.18)| STR D1 Gaba_5(0.17)| STR D1 Gaba_9(0.16)| STR D1 Gaba_8(0.15)| STR D1 Gaba_6(0.06)	0960 STR D1 Gaba_7(0.2)| 0956 STR D1 Gaba_5(0.17)| 0964 STR D1 Gaba_9(0.16)| 0961 STR D1 Gaba_8(0.15)| 0954 STR D1 Gaba_4(0.13)| 0959 STR D1 Gaba_6(0.06)	1098
14_MSN	MSN	Hybrid	D1D2-Hybrid	Subpallium-GABA	CNU-LGE GABA	STR D1 Sema5a Gaba				Subpallium-GABA	CNU-LGE GABA(0.98)	STR D1 Sema5a Gaba(0.95)	STR D1 Sema5a Gaba_1(0.47)| STR D1 Sema5a Gaba_2(0.32)| STR D1 Sema5a Gaba_4(0.11)	0990 STR D1 Sema5a Gaba_1(0.37)| 0992 STR D1 Sema5a Gaba_2(0.31)| 0991 STR D1 Sema5a Gaba_1(0.1)| 1000 STR D1 Sema5a Gaba_4(0.07)	4708
15_MSN	MSN	Hybrid	D1D2-Hybrid	Subpallium-GABA	CNU-LGE GABA	STR D1 Sema5a Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Sema5a Gaba(0.9)| STR D1 Gaba(0.08)	STR D1 Sema5a Gaba_1(0.69)| STR D1 Sema5a Gaba_2(0.17)	0990 STR D1 Sema5a Gaba_1(0.41)| 0991 STR D1 Sema5a Gaba_1(0.28)| 0992 STR D1 Sema5a Gaba_2(0.17)	2581
16_MSN	MSN	Hybrid	D1D2-Hybrid	Subpallium-GABA	CNU-LGE GABA	STR D1 Sema5a Gaba				Subpallium-GABA(0.98)	CNU-LGE GABA(0.97)	STR D1 Sema5a Gaba(0.87)	STR D1 Sema5a Gaba_4(0.33)| STR D1 Sema5a Gaba_1(0.21)| STR D1 Sema5a Gaba_3(0.18)| STR D1 Sema5a Gaba_2(0.15)	0990 STR D1 Sema5a Gaba_1(0.2)| 1000 STR D1 Sema5a Gaba_4(0.2)| 0992 STR D1 Sema5a Gaba_2(0.14)| 0999 STR D1 Sema5a Gaba_4(0.13)| 0998 STR D1 Sema5a Gaba_3(0.11)| 0997 STR D1 Sema5a Gaba_3(0.07)	1166
17_MSN	MSN	Hybrid	D1D2-Hybrid	Subpallium-GABA	CNU-LGE GABA	STR D1 Sema5a Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Sema5a Gaba(0.92)| STR D1 Gaba(0.06)	STR D1 Sema5a Gaba_1(0.51)| STR D1 Sema5a Gaba_2(0.21)| STR D1 Sema5a Gaba_3(0.16)	0990 STR D1 Sema5a Gaba_1(0.34)| 0992 STR D1 Sema5a Gaba_2(0.2)| 0991 STR D1 Sema5a Gaba_1(0.17)| 0997 STR D1 Sema5a Gaba_3(0.11)	1906
19_MSN	MSN	Hybrid	D1D2-Hybrid	Subpallium-GABA	CNU-LGE GABA	STR D1 Sema5a Gaba				Subpallium-GABA(0.97)	CNU-LGE GABA(0.96)	STR D1 Sema5a Gaba(0.86)| STR D1 Gaba(0.09)	STR D1 Sema5a Gaba_1(0.64)| STR D1 Sema5a Gaba_2(0.13)| STR D1 Sema5a Gaba_3(0.06)	0990 STR D1 Sema5a Gaba_1(0.4)| 0991 STR D1 Sema5a Gaba_1(0.24)| 0992 STR D1 Sema5a Gaba_2(0.13)	871
20_MSN	MSN	Hybrid	D1D2-Hybrid	Subpallium-GABA	CNU-LGE GABA	STR D1 Sema5a Gaba				Subpallium-GABA(0.94)	CNU-LGE GABA(0.92)	STR D1 Sema5a Gaba(0.8)| STR D1 Gaba(0.06)	STR D1 Sema5a Gaba_1(0.24)| STR D1 Sema5a Gaba_3(0.23)| STR D1 Sema5a Gaba_4(0.21)| STR D1 Sema5a Gaba_2(0.12)	0990 STR D1 Sema5a Gaba_1(0.2)| 0998 STR D1 Sema5a Gaba_3(0.19)| 1000 STR D1 Sema5a Gaba_4(0.13)| 0992 STR D1 Sema5a Gaba_2(0.11)| 0999 STR D1 Sema5a Gaba_4(0.08)	2710
21_MSN	MSN	Hybrid	D1D2-Hybrid	Subpallium-GABA	CNU-LGE GABA	STR D1 Sema5a Gaba				Subpallium-GABA(0.84)| Subpallium-GABA;HY-EA-Glut-GABA(0.11)	CNU-LGE GABA(0.82)| CNU-HYa GABA(0.11)	STR D1 Sema5a Gaba(0.49)| STR-PAL Chst9 Gaba(0.28)| CEA-AAA-BST Six3 Sp9 Gaba(0.07)	STR D1 Sema5a Gaba_4(0.27)| STR D1 Sema5a Gaba_3(0.17)| STR-PAL Chst9 Gaba_3(0.16)| CEA-AAA-BST Six3 Sp9 Gaba_2(0.06)| STR-PAL Chst9 Gaba_5(0.06)	1000 STR D1 Sema5a Gaba_4(0.21)| 1009 STR-PAL Chst9 Gaba_3(0.16)| 0998 STR D1 Sema5a Gaba_3(0.15)| 0999 STR D1 Sema5a Gaba_4(0.07)| 1015 STR-PAL Chst9 Gaba_5(0.06)	570
53_MSN	MSN	D2-MSN	D2-Hybrid-MCHR2	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_2(0.5)| STR D2 Gaba_6(0.22)| STR D2 Gaba_4(0.13)| STR D2 Gaba_3(0.13)	0977 STR D2 Gaba_2(0.5)| 0986 STR D2 Gaba_6(0.21)| 0978 STR D2 Gaba_3(0.13)| 0981 STR D2 Gaba_4(0.07)| 0979 STR D2 Gaba_4(0.06)	2493
54_MSN	MSN	D2-MSN	D2-Hybrid-MCHR2	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba(0.98)	STR D2 Gaba_2(0.49)| STR D2 Gaba_3(0.2)| STR D2 Gaba_4(0.18)| STR D2 Gaba_6(0.09)	0977 STR D2 Gaba_2(0.49)| 0978 STR D2 Gaba_3(0.2)| 0979 STR D2 Gaba_4(0.11)| 0981 STR D2 Gaba_4(0.08)| 0986 STR D2 Gaba_6(0.07)	757
55_MSN	MSN	D2-MSN	D2-Hybrid-MCHR2	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_4(0.4)| STR D2 Gaba_2(0.34)| STR D2 Gaba_6(0.21)	0977 STR D2 Gaba_2(0.34)| 0981 STR D2 Gaba_4(0.21)| 0979 STR D2 Gaba_4(0.19)| 0986 STR D2 Gaba_6(0.18)	284
13_MSN	MSN	D2-MSN	D2-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba(0.98)	STR D2 Gaba_2(0.74)| STR D2 Gaba_4(0.23)	0977 STR D2 Gaba_2(0.74)| 0979 STR D2 Gaba_4(0.16)| 0981 STR D2 Gaba_4(0.07)	488
31_MSN	MSN	D2-MSN	D2-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_2(0.47)| STR D2 Gaba_4(0.47)	0977 STR D2 Gaba_2(0.47)| 0981 STR D2 Gaba_4(0.39)| 0979 STR D2 Gaba_4(0.08)	194
32_MSN	MSN	D2-MSN	D2-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_4(0.77)| STR D2 Gaba_2(0.22)	0981 STR D2 Gaba_4(0.77)| 0977 STR D2 Gaba_2(0.22)	453
56_MSN	MSN	D2-MSN	D2-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_4(0.93)| STR D2 Gaba_2(0.07)	0981 STR D2 Gaba_4(0.9)| 0977 STR D2 Gaba_2(0.07)	7302
5_MSN	MSN	D2-MSN	D2-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_4(0.65)| STR D2 Gaba_2(0.34)	0981 STR D2 Gaba_4(0.65)| 0977 STR D2 Gaba_2(0.34)	22538
6_MSN	MSN	D2-MSN	D2-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_2(0.79)| STR D2 Gaba_4(0.19)	0977 STR D2 Gaba_2(0.79)| 0981 STR D2 Gaba_4(0.19)	4350
7_MSN	MSN	D2-MSN	D2-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_4(0.83)| STR D2 Gaba_2(0.17)	0981 STR D2 Gaba_4(0.83)| 0977 STR D2 Gaba_2(0.17)	4123
87_MSN	MSN	D2-MSN	D2-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_4(0.86)| STR D2 Gaba_2(0.13)	0981 STR D2 Gaba_4(0.85)| 0977 STR D2 Gaba_2(0.13)	5215
88_MSN	MSN	D2-MSN	D2-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba(0.98)	STR D2 Gaba_4(0.61)| STR D2 Gaba_2(0.37)	0981 STR D2 Gaba_4(0.47)| 0977 STR D2 Gaba_2(0.37)| 0979 STR D2 Gaba_4(0.14)	1223
8_MSN	MSN	D2-MSN	D2-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_2(0.85)| STR D2 Gaba_4(0.15)	0977 STR D2 Gaba_2(0.85)| 0981 STR D2 Gaba_4(0.14)	9443
90_MSN	MSN	D2-MSN	D2-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_2(0.68)| STR D2 Gaba_4(0.25)	0977 STR D2 Gaba_2(0.68)| 0981 STR D2 Gaba_4(0.25)	11167
57_MSN	MSN	D2-MSN	D2-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA(0.93)| Subpallium-GABA;HY-EA-Glut-GABA(0.07)	CNU-LGE GABA(0.93)| CNU-HYa GABA(0.07)	STR D2 Gaba(0.93)| CEA-AAA-BST Six3 Sp9 Gaba(0.06)	STR D2 Gaba_2(0.56)| STR D2 Gaba_1(0.33)| CEA-AAA-BST Six3 Sp9 Gaba_4(0.06)	0977 STR D2 Gaba_2(0.56)| 0970 STR D2 Gaba_1(0.32)| 1365 CEA-AAA-BST Six3 Sp9 Gaba_4(0.06)	3333
58_MSN	MSN	D2-MSN	D2-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA(0.92)| Subpallium-GABA;HY-EA-Glut-GABA(0.08)	CNU-LGE GABA(0.92)| CNU-HYa GABA(0.08)	STR D2 Gaba(0.91)| CEA-AAA-BST Six3 Sp9 Gaba(0.07)	STR D2 Gaba_2(0.51)| STR D2 Gaba_1(0.38)| CEA-AAA-BST Six3 Sp9 Gaba_4(0.07)	0977 STR D2 Gaba_2(0.51)| 0970 STR D2 Gaba_1(0.35)| 1365 CEA-AAA-BST Six3 Sp9 Gaba_4(0.07)	797
59_MSN	MSN	D2-MSN	D2-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA(0.9)| Subpallium-GABA;HY-EA-Glut-GABA(0.09)	CNU-LGE GABA(0.9)| CNU-HYa GABA(0.09)	STR D2 Gaba(0.9)| CEA-AAA-BST Six3 Sp9 Gaba(0.09)	STR D2 Gaba_2(0.64)| STR D2 Gaba_1(0.22)| CEA-AAA-BST Six3 Sp9 Gaba_4(0.09)	0977 STR D2 Gaba_2(0.58)| 0970 STR D2 Gaba_1(0.22)| 1365 CEA-AAA-BST Six3 Sp9 Gaba_4(0.09)| 0976 STR D2 Gaba_2(0.07)	2073
60_MSN	MSN	D2-MSN	D2-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA(0.76)| Subpallium-GABA;HY-EA-Glut-GABA(0.23)	CNU-LGE GABA(0.76)| CNU-HYa GABA(0.23)	STR D2 Gaba(0.74)| CEA-AAA-BST Six3 Sp9 Gaba(0.22)	STR D2 Gaba_1(0.37)| CEA-AAA-BST Six3 Sp9 Gaba_4(0.21)| STR D2 Gaba_2(0.17)| STR D2 Gaba_5(0.17)	0970 STR D2 Gaba_1(0.32)| 1365 CEA-AAA-BST Six3 Sp9 Gaba_4(0.21)| 0985 STR D2 Gaba_5(0.17)| 0977 STR D2 Gaba_2(0.16)	271
82_MSN	MSN	D2-MSN	D2-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA(0.68)| Subpallium-GABA;HY-EA-Glut-GABA(0.31)	CNU-LGE GABA(0.68)| CNU-HYa GABA(0.31)	STR D2 Gaba(0.66)| CEA-BST Six3 Cyp26b1 Gaba(0.26)	STR D2 Gaba_1(0.65)| CEA-BST Six3 Cyp26b1 Gaba_5(0.19)	0970 STR D2 Gaba_1(0.42)| 0965 STR D2 Gaba_1(0.15)| 1344 CEA-BST Six3 Cyp26b1 Gaba_5(0.1)| 1345 CEA-BST Six3 Cyp26b1 Gaba_5(0.08)| 0971 STR D2 Gaba_1(0.08)	437
83_MSN	MSN	D2-MSN	D2-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA(0.88)| Subpallium-GABA;HY-EA-Glut-GABA(0.11)	CNU-LGE GABA(0.88)| CNU-HYa GABA(0.11)	STR D2 Gaba(0.84)| CEA-BST Six3 Cyp26b1 Gaba(0.06)	STR D2 Gaba_1(0.82)	0970 STR D2 Gaba_1(0.79)	1437
84_MSN	MSN	D2-MSN	D2-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA(0.95)	CNU-LGE GABA(0.95)	STR D2 Gaba(0.94)	STR D2 Gaba_1(0.76)| STR D2 Gaba_2(0.16)	0970 STR D2 Gaba_1(0.76)| 0977 STR D2 Gaba_2(0.16)	5074
10_MSN	MSN	D2-MSN	D2-Striosome	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_4(0.58)| STR D2 Gaba_2(0.42)	0981 STR D2 Gaba_4(0.55)| 0977 STR D2 Gaba_2(0.42)	1055
11_MSN	MSN	D2-MSN	D2-Striosome	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba(0.98)	STR D2 Gaba_2(0.58)| STR D2 Gaba_4(0.4)	0977 STR D2 Gaba_2(0.58)| 0981 STR D2 Gaba_4(0.35)	1621
12_MSN	MSN	D2-MSN	D2-Striosome	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA(0.98)	CNU-LGE GABA(0.98)	STR D2 Gaba(0.97)	STR D2 Gaba_2(0.68)| STR D2 Gaba_3(0.12)| STR D2 Gaba_1(0.1)| STR D2 Gaba_4(0.07)	0977 STR D2 Gaba_2(0.67)| 0978 STR D2 Gaba_3(0.12)| 0970 STR D2 Gaba_1(0.1)	327
9_MSN	MSN	D2-MSN	D2-Striosome	Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D2 Gaba	STR D2 Gaba_2(0.71)| STR D2 Gaba_4(0.28)	0977 STR D2 Gaba_2(0.71)| 0981 STR D2 Gaba_4(0.21)| 0979 STR D2 Gaba_4(0.08)	7628
11_NN	Nonneuron	Endothelial	Endothelial	NN-IMN-GC	Vascular	Endo NN				NN-IMN-GC	Vascular	Endo NN	Endo NN_1	5311 Endo NN_1	217
12_NN	Nonneuron	Endothelial	Endothelial	NN-IMN-GC	Vascular	Endo NN				NN-IMN-GC	Vascular(0.98)	Endo NN(0.97)	Endo NN_1(0.97)	5311 Endo NN_1(0.77)| 5310 Endo NN_1(0.2)	453
13_NN	Nonneuron	Endothelial	Endothelial	NN-IMN-GC	Vascular	Endo NN				NN-IMN-GC	Vascular(0.98)	Endo NN(0.98)	Endo NN_1(0.98)	5309 Endo NN_1(0.93)	61
27_NN	Nonneuron	Ependyma	Ependyma	NN-IMN-GC	Astro-Epen	Ependymal NN				NN-IMN-GC	Astro-Epen(0.94)	Ependymal NN(0.89)	Ependymal NN_2(0.8)| Ependymal NN_1(0.08)	5262 Ependymal NN_2(0.45)| 5261 Ependymal NN_2(0.32)	132
28_NN	Nonneuron	Ependyma	Ependyma	NN-IMN-GC	Astro-Epen	CHOR NN				NN-IMN-GC(0.98)	Astro-Epen(0.97)	CHOR NN(0.92)	CHOR NN_1(0.92)	5265 CHOR NN_1(0.87)	61
213_IN	Interneuron	PVALB	GABA_PVALB-GATA3	MB-HB-CB-GABA	MB GABA	SNr Six3 Gaba		STH/SN-VTA enriched in macaque		MB-HB-CB-GABA(0.88)| MB-HB-Glut-Sero-Dopa(0.11)	MB GABA(0.84)| MY Glut(0.09)	SNr Six3 Gaba(0.75)| PGRN-PARN-MDRN Hoxb5 Glut(0.09)	SNr Six3 Gaba_1(0.75)| PGRN-PARN-MDRN Hoxb5 Glut_2(0.09)	3461 SNr Six3 Gaba_1(0.74)| 4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.09)	885
178_IN	Interneuron	PVALB	Gluta_PVALB-CDH23	HY-EA-Glut-GABA	HY Glut	STN-PSTN Pitx2 Glut		STN neurons		HY-EA-Glut-GABA(0.68)| MB-HB-Glut-Sero-Dopa(0.32)	HY Glut(0.67)| MB Glut(0.26)	STN-PSTN Pitx2 Glut(0.67)| RN Spp1 Glut(0.26)	STN-PSTN Pitx2 Glut_5(0.66)| RN Spp1 Glut_1(0.26)	2454 STN-PSTN Pitx2 Glut_5(0.65)| 2761 RN Spp1 Glut_1(0.26)	3601
179_IN	Interneuron	PVALB	Gluta_PVALB-CDH23	HY-EA-Glut-GABA	HY Glut	STN-PSTN Pitx2 Glut				MB-HB-Glut-Sero-Dopa(0.54)| HY-EA-Glut-GABA(0.39)	HY Glut(0.39)| MY Glut(0.27)| MB Glut(0.26)	STN-PSTN Pitx2 Glut(0.35)| PGRN-PARN-MDRN Hoxb5 Glut(0.27)| RN Spp1 Glut(0.26)	STN-PSTN Pitx2 Glut_5(0.35)| PGRN-PARN-MDRN Hoxb5 Glut_2(0.27)| RN Spp1 Glut_1(0.26)	2454 STN-PSTN Pitx2 Glut_5(0.32)| 4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.27)| 2761 RN Spp1 Glut_1(0.26)	132
